
 Strike / Maturity |      0.000      0.250      0.500      0.750      1.000
-------------------|-------------------------------------------------------
             80.00 |    19.8941    20.6158    21.6083    22.6227    23.6000
             85.00 |    15.1510    16.1108    17.3788    18.5783    19.6938
             90.00 |    10.1270    11.6079    13.2039    14.5929    15.8433
             95.00 |     5.1700     7.6486     9.5159    11.0469    12.3974
            100.00 |    -0.0015     4.2735     6.2306     7.8137     9.2084
            105.00 |    -0.0002     1.9891     3.7328     5.2303     6.5852
            110.00 |    -0.0001     0.7423     2.0274     3.3064     4.5368
            115.00 |    -0.0001     0.2202     0.9992     1.9802     3.0223
            120.00 |    -0.0000     0.0465     0.4167     1.0679     1.8717
            125.00 |    -0.0000     0.0071     0.1454     0.5120     1.0665

